com.samsung.shealth.tracker.pedometer_step_count,2,,,,,,,,,
duration,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.end_time
60000,0,116,32:00.0,33:46.9,32:03.9,116,1.4404999,86.42999,4.5600004,33:00.0
59256,0,105,33:00.0,33:59.8,33:47.0,105,1.3218904,78.33002,4.1999993,34:00.0
55903,0,89,34:00.0,35:00.7,34:00.6,89,1.1568103,64.66998,3.4799986,35:00.0
60000,0,103,35:00.0,36:28.4,36:28.4,103,1.267,76.02,4.1,36:00.0
8427,0,14,36:00.0,36:28.5,36:28.5,14,1.2222222,10.3,0.55,37:00.0
17665,0,33,33:00.0,33:59.6,33:48.2,33,1.4123647,24.950003,1.24,34:00.0
28494,0,48,34:00.0,35:00.8,34:00.2,48,1.245871,35.5,1.92,35:00.0
49839,0,95,35:00.0,36:14.1,36:14.1,95,1.4444444,71.99,3.76,36:00.0
60000,0,112,36:00.0,36:59.7,36:14.2,112,1.4061666,84.369995,4.4799967,37:00.0
60000,0,119,37:00.0,37:59.7,37:00.1,119,1.5081668,90.490005,4.759997,38:00.0
60000,0,117,38:00.0,38:59.6,38:00.3,117,1.4675001,88.05001,4.679997,39:00.0
60000,0,121,39:00.0,39:59.5,39:00.1,121,1.5389999,92.340004,4.839997,40:00.0
60000,0,123,40:00.0,40:59.8,40:00.1,123,1.5663345,93.98007,4.9199967,41:00.0
60000,0,120,41:00.0,41:59.7,41:00.3,120,1.5166659,90.99996,4.799997,42:00.0
60000,0,117,42:00.0,42:59.6,42:00.3,117,1.4678332,88.069984,4.679997,43:00.0
60000,0,120,43:00.0,43:59.9,43:00.2,120,1.5135007,90.81004,4.799997,44:00.0
60000,0,119,44:00.0,44:59.9,44:00.5,119,1.5006661,90.03997,4.7399974,45:00.0
60000,0,104,45:00.0,45:59.7,45:01.0,104,1.2791675,76.750046,4.1599975,46:00.0
60000,0,110,46:00.0,46:59.8,46:00.4,110,1.3596667,81.58,4.399997,47:00.0
